"sport","height_converted","weight","age","female","color","symbol","height"
"track and field",68,130,41.6767123287671,0,"#E41A1C","19",68
"track and field",74,172,22.2657534246575,0,"#E41A1C","19",74
"track and field",71,160,26.3232876712329,0,"#E41A1C","19",71
"track and field",74,145,25.1232876712329,0,"#E41A1C","19",74
"track and field",75,190,30.1287671232877,0,"#E41A1C","19",75
"track and field",71,150,21.4547945205479,0,"#E41A1C","19",71
"track and field",74,172,38.5287671232877,0,"#E41A1C","19",74
"track and field",72,190,30.7095890410959,0,"#E41A1C","19",72
"track and field",74,180,27.4109589041096,0,"#E41A1C","19",74
"track and field",71,165,25.8958904109589,0,"#E41A1C","19",71
"track and field",69,165,21.2547945205479,0,"#E41A1C","19",69
"track and field",69,178,31.3041095890411,0,"#E41A1C","19",69
"track and field",71,135,30.2657534246575,0,"#E41A1C","19",71
"track and field",72,145,25.5150684931507,0,"#E41A1C","19",72
"track and field",76,200,26.572602739726,0,"#E41A1C","19",76
"track and field",73,165,32.3123287671233,0,"#E41A1C","19",73
"track and field",74,180,26.1506849315068,0,"#E41A1C","19",74
"track and field",68,155,25.2465753424658,0,"#E41A1C","19",68
"track and field",70,145,27.9232876712329,0,"#E41A1C","19",70
"track and field",76,195,23.4630136986301,0,"#E41A1C","19",76
"track and field",64,133,22.2356164383562,1,"#E41A1C","19",64
"track and field",66,143,27.8027397260274,1,"#E41A1C","19",66
"track and field",69,200,27.4794520547945,1,"#E41A1C","19",69
"track and field",66,130,30.9534246575342,1,"#E41A1C","19",66
"track and field",69,195,27.1205479452055,1,"#E41A1C","19",69
"track and field",72,170,27.1150684931507,1,"#E41A1C","19",72
"track and field",69,128,25.958904109589,1,"#E41A1C","19",69
"track and field",67,200,35.1917808219178,1,"#E41A1C","19",67
"track and field",70,255,23.9753424657534,1,"#E41A1C","19",70
"track and field",69,300,30.8356164383562,1,"#E41A1C","19",69
"track and field",67,133,28.0986301369863,1,"#E41A1C","19",67
"track and field",68,120,25.813698630137,1,"#E41A1C","19",68
"track and field",63,110,30.4164383561644,1,"#E41A1C","19",63
"track and field",64,100,32.5616438356164,1,"#E41A1C","19",64
"track and field",73,123,18.558904109589,1,"#E41A1C","19",73
"track and field",63,110,24.213698630137,1,"#E41A1C","19",63
"track and field",65,128,30.8356164383562,1,"#E41A1C","19",65
"track and field",72,142,23.2657534246575,1,"#E41A1C","19",72
"track and field",69,145,25.1452054794521,1,"#E41A1C","19",69
"track and field",66,125,30.7342465753425,1,"#E41A1C","19",66
"track and field",65,105,35.1013698630137,1,"#E41A1C","19",65
"track and field",71,158,24.2712328767123,1,"#E41A1C","19",71
"track and field",67,118,23.5616438356164,1,"#E41A1C","19",67
"track and field",66,120,24.3041095890411,1,"#E41A1C","19",66
"track and field",64,128,25.1287671232877,1,"#E41A1C","19",64
"track and field",68,122,27.8,1,"#E41A1C","19",68
