"Age","Height","Weight","Female","Gold","Silver","Bronze","Total","Sport","Event","Color","Symbol","kfold1","kfold2","kfold3","kfold4","kfold5","kfold6","kfold7","kfold8","kfold9","kfold10"
17,180,76,0,0,0,0,0,"Canoe Sprint","Men's Canoe Single (C1) 1000m, Men's Canoe Double (C2) 1000m","#A65628","15",3,6,7,1,8,7,1,10,5,9
23,170,63,1,0,0,0,0,"Swimming","Women's 100m Butterfly, Women's 4x100m Medley Relay","#FFFF33","17",5,8,8,9,8,1,10,1,8,7
35,189,83,0,0,0,0,0,"Athletics","Men's Triple Jump","#377EB8","15",9,1,6,5,3,1,10,8,10,4
41,168,57,1,0,0,0,0,"Equestrian","Individual Eventing, Team Eventing, GAZELLE DE LA BRASSERIE","#4DAF4A","16",9,1,7,3,1,5,5,9,8,5
21,173,70,1,0,0,0,0,"Sailing","Women's Laser Radial","#984EA3","17",7,6,1,2,3,6,5,6,1,2
23,180,72,0,0,0,0,0,"Athletics","Men's Triple Jump","#377EB8","15",7,2,5,7,9,7,5,9,8,2
25,170,53,0,0,0,0,0,"Athletics","Men's Marathon","#377EB8","15",4,3,9,9,5,6,8,7,2,5
21,179,61,1,0,0,0,0,"Athletics","Women's 4 x 100m Relay","#377EB8","15",6,1,3,5,4,7,8,1,4,3
31,200,85,0,0,0,0,0,"Beach Volleyball","Men's Beach Volleyball","#FF7F00","15",2,6,4,5,5,8,2,3,5,10
43,167,53,1,0,0,0,0,"Shooting","Women's 10m Air Pistol, Women's 25m Pistol","#FF7F00","17",4,9,3,8,4,1,6,8,8,3
21,162,57,1,0,0,0,0,"Judo","Women's -57kg","#E41A1C","17",6,6,6,5,7,7,4,8,1,4
22,186,79,1,0,0,0,0,"Rowing","Women's Eight","#4DAF4A","17",8,10,7,5,6,5,4,3,3,6
26,159,53,1,0,0,0,0,"Football","Women's Football","#FF7F00","16",3,9,6,8,3,5,2,10,6,7
27,164,64,1,0,0,0,0,"Archery","Women's Individual, Women's Team","#E41A1C","15",7,10,5,10,9,2,3,6,4,3
24,180,75,1,0,0,0,0,"Athletics","Women's Javelin Throw","#377EB8","15",8,5,8,10,7,3,4,7,3,4
27,172,52,1,0,0,0,0,"Athletics","Women's 200m, Women's 4 x 100m Relay","#377EB8","15",8,2,8,7,9,5,10,6,4,4
23,172,70,0,0,0,0,0,"Football","Men's Football","#FF7F00","16",9,3,5,9,5,9,9,1,7,3
34,173,57,0,0,0,0,0,"Athletics","Men's Marathon","#377EB8","15",6,1,8,2,5,8,8,7,6,3
29,163,58,1,0,0,0,0,"Football","Women's Football","#FF7F00","16",8,6,5,10,8,7,7,10,4,8
26,170,66,0,0,0,0,0,"Judo","Men's -66kg","#E41A1C","17",7,4,10,1,6,6,10,9,10,2
30,170,66,1,0,0,0,0,"Football","Women's Football","#FF7F00","16",8,1,7,8,1,8,4,7,8,1
20,180,66,0,0,0,0,0,"Football","Men's Football","#FF7F00","16",5,9,2,6,8,3,6,1,2,3
30,203,98,0,0,0,0,0,"Volleyball","Men's Volleyball","#4DAF4A","18",4,9,4,4,10,7,8,2,1,10
19,202,111,0,0,0,0,0,"Canoe Sprint","Men's Kayak Four (K4) 1000m","#A65628","15",7,4,2,9,8,10,8,8,3,4
22,190,80,0,0,0,0,0,"Swimming","Men's 50m Freestyle, Men's 100m Freestyle, Men's 4x100m Freestyle Relay, Men's 4x100m Medley Relay","#FFFF33","17",4,6,4,5,3,1,10,7,2,6
30,174,67,1,0,0,0,0,"Canoe Sprint","Women's Kayak Single (K1) 200m, Women's Kayak Double (K2) 500m","#A65628","15",8,2,9,10,7,3,1,8,5,1
29,186,78,0,0,0,0,0,"Athletics","Men's 110m Hurdles","#377EB8","15",8,8,7,9,4,6,2,4,3,4
22,193,98,0,0,0,0,0,"Sailing","Men's Finn","#984EA3","17",5,3,6,8,4,4,9,5,4,8
